group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,231,-117.6872559,33.85991859,Anaheim,City,336265,49.84000015,ANAHEIM
1,232,-117.6874714,33.85956001,Anaheim,City,336265,49.84000015,ANAHEIM
1,233,-117.6867886,33.8592968,Anaheim,City,336265,49.84000015,ANAHEIM
1,234,-117.6853561,33.85817146,Anaheim,City,336265,49.84000015,ANAHEIM
1,235,-117.684639,33.85666084,Anaheim,City,336265,49.84000015,ANAHEIM
1,236,-117.6843891,33.85571098,Anaheim,City,336265,49.84000015,ANAHEIM
1,237,-117.6850109,33.85496712,Anaheim,City,336265,49.84000015,ANAHEIM
1,238,-117.6880016,33.85428047,Anaheim,City,336265,49.84000015,ANAHEIM
1,239,-117.689785,33.85431099,Anaheim,City,336265,49.84000015,ANAHEIM
1,240,-117.6905804,33.85344124,Anaheim,City,336265,49.84000015,ANAHEIM
1,241,-117.6926517,33.85477257,Anaheim,City,336265,49.84000015,ANAHEIM
1,242,-117.6917019,33.85585594,Anaheim,City,336265,49.84000015,ANAHEIM
1,243,-117.6927757,33.85635567,Anaheim,City,336265,49.84000015,ANAHEIM
1,244,-117.6940823,33.85734367,Anaheim,City,336265,49.84000015,ANAHEIM
1,245,-117.6947708,33.85585594,Anaheim,City,336265,49.84000015,ANAHEIM
1,246,-117.6868858,33.85066795,Anaheim,City,336265,49.84000015,ANAHEIM
1,247,-117.6918354,33.84575844,Anaheim,City,336265,49.84000015,ANAHEIM
1,248,-117.6818466,33.83931541,Anaheim,City,336265,49.84000015,ANAHEIM
1,249,-117.6833496,33.83651161,Anaheim,City,336265,49.84000015,ANAHEIM
1,250,-117.6856556,33.83631325,Anaheim,City,336265,49.84000015,ANAHEIM
1,251,-117.6898746,33.83296013,Anaheim,City,336265,49.84000015,ANAHEIM
1,252,-117.6923027,33.83290672,Anaheim,City,336265,49.84000015,ANAHEIM
1,253,-117.6965828,33.83066368,Anaheim,City,336265,49.84000015,ANAHEIM
1,254,-117.6986656,33.82781029,Anaheim,City,336265,49.84000015,ANAHEIM
1,255,-117.7000999,33.82629204,Anaheim,City,336265,49.84000015,ANAHEIM
1,256,-117.7050476,33.82473183,Anaheim,City,336265,49.84000015,ANAHEIM
